ティッカーシンボル,持株数,資産額
spxl,466,30378.541137695312
zi,54,2309.5800247192383
docu,5,1027.3750305175781
fb,4,1109.800048828125
plug,54,1335.6036186218262
rprx,23,965.3100280761719
shop,1,900.7899780273438
zm,3,1166.25
tsla,3,1218.8399963378906
現金,,20254.255188620133
